dependent,specification,variable,1,5,20
hy_spread,full_all_crypto_predictors,btc_eth_funding_rate_avg,-0.7791***,-2.5511***,1.216
hy_spread,full_all_crypto_predictors,btc_eth_open_interest_daily_log_chg,-0.0892**,-0.3666**,-1.0305***
hy_spread,full_all_crypto_predictors,stablecoin_exchange_netflow_scaled,0.9467,-12.9853**,-74.1855***
hy_spread,full_all_crypto_predictors,stablecoin_exchange_reserve_daily_log_chg,-0.3442,5.1052**,26.555**
hy_spread,full_all_crypto_predictors,stablecoin_supply_daily_log_chg,1.9513***,6.1985**,-6.6198**
hy_spread,full_all_crypto_predictors,tradingVol_btc+eth_daily_log_chg,0.0067**,-0.0009,-0.0081
hy_spread,group_crypto_market,btc_eth_funding_rate_avg,-0.6822***,-2.2438***,0.89
hy_spread,group_crypto_market,btc_eth_open_interest_daily_log_chg,-0.0894**,-0.3674**,-1.0287***
hy_spread,group_crypto_market,stablecoin_exchange_netflow_scaled,1.2028,-12.1685**,-75.0641***
hy_spread,group_crypto_market,stablecoin_exchange_reserve_daily_log_chg,-0.3074,5.2206**,26.4351**
hy_spread,group_crypto_market,tradingVol_btc+eth_daily_log_chg,0.0047,-0.0075,-0.0008
hy_spread,group_stablecoin_mcaps,stablecoin_supply_daily_log_chg,1.5611**,5.62**,-5.1579**
hy_spread,standalone_btc_eth_funding_rate_avg,btc_eth_funding_rate_avg,-0.7158***,-2.4151**,0.5222
hy_spread,standalone_btc_eth_open_interest_daily_log_chg,btc_eth_open_interest_daily_log_chg,-0.1277***,-0.5118**,-1.0501***
hy_spread,standalone_stablecoin_exchange_netflow_scaled,stablecoin_exchange_netflow_scaled,0.4062,3.33**,1.7899
hy_spread,standalone_stablecoin_exchange_reserve_daily_log_chg,stablecoin_exchange_reserve_daily_log_chg,0.1319,1.238**,1.171
hy_spread,standalone_stablecoin_supply_daily_log_chg,stablecoin_supply_daily_log_chg,1.5611**,5.62**,-5.1579**
hy_spread,standalone_tradingVol_btc+eth_daily_log_chg,tradingVol_btc+eth_daily_log_chg,0.0058,-0.0031,0.0129
ig_spread,full_all_crypto_predictors,btc_eth_funding_rate_avg,-0.2611***,-1.2908***,0.23
ig_spread,full_all_crypto_predictors,btc_eth_open_interest_daily_log_chg,-0.0105,-0.2015**,-0.3248***
ig_spread,full_all_crypto_predictors,stablecoin_exchange_netflow_scaled,0.724,-2.5847,-31.8285***
ig_spread,full_all_crypto_predictors,stablecoin_exchange_reserve_daily_log_chg,-0.2053,1.2195,11.457***
ig_spread,full_all_crypto_predictors,stablecoin_supply_daily_log_chg,0.7032**,2.479**,-2.9986**
ig_spread,full_all_crypto_predictors,tradingVol_btc+eth_daily_log_chg,0.0022**,-0.0001,-0.0035
ig_spread,group_crypto_market,btc_eth_funding_rate_avg,-0.2262***,-1.1679**,0.0824
ig_spread,group_crypto_market,btc_eth_open_interest_daily_log_chg,-0.0106,-0.2018**,-0.324***
ig_spread,group_crypto_market,stablecoin_exchange_netflow_scaled,0.8164,-2.2578,-32.2268***
ig_spread,group_crypto_market,stablecoin_exchange_reserve_daily_log_chg,-0.1921,1.2655,11.4028***
ig_spread,group_crypto_market,tradingVol_btc+eth_daily_log_chg,0.0014**,-0.0028,-0.0003
ig_spread,group_stablecoin_mcaps,stablecoin_supply_daily_log_chg,0.6178**,2.1866**,-2.4352**
ig_spread,standalone_btc_eth_funding_rate_avg,btc_eth_funding_rate_avg,-0.2346***,-1.2564**,-0.0437
ig_spread,standalone_btc_eth_open_interest_daily_log_chg,btc_eth_open_interest_daily_log_chg,-0.0242**,-0.2735**,-0.3498***
ig_spread,standalone_stablecoin_exchange_netflow_scaled,stablecoin_exchange_netflow_scaled,0.286**,1.5986**,0.9278
ig_spread,standalone_stablecoin_exchange_reserve_daily_log_chg,stablecoin_exchange_reserve_daily_log_chg,0.0927**,0.5684**,0.5569
ig_spread,standalone_stablecoin_supply_daily_log_chg,stablecoin_supply_daily_log_chg,0.6178**,2.1866**,-2.4352**
ig_spread,standalone_tradingVol_btc+eth_daily_log_chg,tradingVol_btc+eth_daily_log_chg,0.0015**,-0.0007,0.0048
sp500,full_all_crypto_predictors,btc_eth_funding_rate_avg,0.0671**,0.138***,-0.1275
sp500,full_all_crypto_predictors,btc_eth_open_interest_daily_log_chg,-0.0132**,-0.0085,0.0126
sp500,full_all_crypto_predictors,stablecoin_exchange_netflow_scaled,-0.1797,2.5038***,4.6804***
sp500,full_all_crypto_predictors,stablecoin_exchange_reserve_daily_log_chg,0.051,-0.9187***,-1.6827**
sp500,full_all_crypto_predictors,stablecoin_supply_daily_log_chg,-0.1373**,-0.2424**,0.9767***
sp500,full_all_crypto_predictors,tradingVol_btc+eth_daily_log_chg,-0.0001,0.0012**,0.0014
sp500,group_crypto_market,btc_eth_funding_rate_avg,0.0603**,0.126**,-0.0794
sp500,group_crypto_market,btc_eth_open_interest_daily_log_chg,-0.0132**,-0.0085,0.0123
sp500,group_crypto_market,stablecoin_exchange_netflow_scaled,-0.1977,2.4718***,4.8101**
sp500,group_crypto_market,stablecoin_exchange_reserve_daily_log_chg,0.0484,-0.9232***,-1.665**
sp500,group_crypto_market,tradingVol_btc+eth_daily_log_chg,0.0001,0.0015**,0.0003
sp500,group_stablecoin_mcaps,stablecoin_supply_daily_log_chg,-0.1178**,-0.2388**,0.8495***
sp500,standalone_btc_eth_funding_rate_avg,btc_eth_funding_rate_avg,0.0575**,0.1281**,-0.0736
sp500,standalone_btc_eth_open_interest_daily_log_chg,btc_eth_open_interest_daily_log_chg,-0.0098**,0.0008,0.0118
sp500,standalone_stablecoin_exchange_netflow_scaled,stablecoin_exchange_netflow_scaled,-0.061**,-0.2201**,-0.0148
sp500,standalone_stablecoin_exchange_reserve_daily_log_chg,stablecoin_exchange_reserve_daily_log_chg,-0.0195**,-0.0937**,-0.0403
sp500,standalone_stablecoin_supply_daily_log_chg,stablecoin_supply_daily_log_chg,-0.1178**,-0.2388**,0.8495***
sp500,standalone_tradingVol_btc+eth_daily_log_chg,tradingVol_btc+eth_daily_log_chg,0.0002,0.0013**,-0.0001
vix,full_all_crypto_predictors,btc_eth_funding_rate_avg,-0.1412**,0.1712,1.3481**
vix,full_all_crypto_predictors,btc_eth_open_interest_daily_log_chg,0.0471**,0.1349**,0.2943***
vix,full_all_crypto_predictors,stablecoin_exchange_netflow_scaled,-0.4698,-16.1577***,-13.9975**
vix,full_all_crypto_predictors,stablecoin_exchange_reserve_daily_log_chg,0.1382,5.6159***,5.0259**
vix,full_all_crypto_predictors,stablecoin_supply_daily_log_chg,0.3359**,-0.2979,-3.631***
vix,full_all_crypto_predictors,tradingVol_btc+eth_daily_log_chg,0.0002,-0.0038,0.0015
vix,group_crypto_market,btc_eth_funding_rate_avg,-0.1246**,0.1566,1.1709**
vix,group_crypto_market,btc_eth_open_interest_daily_log_chg,0.0471**,0.135**,0.2954***
vix,group_crypto_market,stablecoin_exchange_netflow_scaled,-0.4254,-16.1972***,-14.4826**
vix,group_crypto_market,stablecoin_exchange_reserve_daily_log_chg,0.1445,5.6104***,4.9608**
vix,group_crypto_market,tradingVol_btc+eth_daily_log_chg,-0.0002,-0.0035,0.0054
vix,group_stablecoin_mcaps,stablecoin_supply_daily_log_chg,0.2564**,-0.1352,-2.8349***
vix,standalone_btc_eth_funding_rate_avg,btc_eth_funding_rate_avg,-0.1106**,0.1907**,1.2544**
vix,standalone_btc_eth_open_interest_daily_log_chg,btc_eth_open_interest_daily_log_chg,0.0405**,0.1325**,0.3439***
vix,standalone_stablecoin_exchange_netflow_scaled,stablecoin_exchange_netflow_scaled,-0.0034,0.0322,-0.3061
vix,standalone_stablecoin_exchange_reserve_daily_log_chg,stablecoin_exchange_reserve_daily_log_chg,0.0016,0.1282,-0.0012
vix,standalone_stablecoin_supply_daily_log_chg,stablecoin_supply_daily_log_chg,0.2564**,-0.1352,-2.8349***
vix,standalone_tradingVol_btc+eth_daily_log_chg,tradingVol_btc+eth_daily_log_chg,-0.0004,-0.0034,0.0032
