crypto_var,risk_var,predictor_label,dependent_label,p_c2r,p_r2c,cum_irf,avg_irf,cum_reverse_irf,avg_reverse_irf,dot_size,dot_color,reverse_size,reverse_color,direction_label,reverse_direction_label,y_pos,x_pos
stablecoin_supply_daily_log_chg,sp500_daily_log_ret,Stablecoin Supply,S&P 500,0.21374268076465236,0.33923295231815287,-0.1393535401402563,-0.006967677007012815,-0.03736910615570834,-0.0018684553077854171,0,white,0,white,−,−,0,0
stablecoin_supply_daily_log_chg,vix_daily_log_chg,Stablecoin Supply,VIX,0.9696363280454787,0.18633043205961325,0.0082370968208683,0.000411854841043415,-0.004313876306074582,-0.00021569381530372908,0,white,0,white,+,−,0,1
stablecoin_supply_daily_log_chg,hy_spread_daily_chg,Stablecoin Supply,HY Spread,0.007981287456086074,0.026684606968034798,3.1830104256724514,0.15915052128362256,0.0038546282290552103,0.0001927314114527605,950,#2D373C,200,#6EA9A3,+,+,0,2
stablecoin_supply_daily_log_chg,ig_spread_daily_chg,Stablecoin Supply,IG Spread,0.00011725759546507217,0.7797795739190871,1.4307987508191728,0.07153993754095864,0.024636065568083218,0.001231803278404161,950,#2D373C,0,white,+,+,0,3
stablecoin_exchange_netflow_scaled,sp500_daily_log_ret,Exchange Netflow,S&P 500,0.47047120337443815,0.611101437823663,-0.03862132482643014,-0.001931066241321507,-0.027617429295776236,-0.0013808714647888117,0,white,0,white,−,−,1,0
stablecoin_exchange_netflow_scaled,vix_daily_log_chg,Exchange Netflow,VIX,0.9544189853566273,0.25102024700162257,-0.03707830131145887,-0.0018539150655729434,-0.0043689344508002085,-0.00021844672254001042,0,white,0,white,−,−,1,1
stablecoin_exchange_netflow_scaled,hy_spread_daily_chg,Exchange Netflow,HY Spread,0.8371419815839694,0.4852022557053991,0.43266120836719946,0.021633060418359974,-0.00698309580142087,-0.0003491547900710435,0,white,0,white,+,−,1,2
stablecoin_exchange_netflow_scaled,ig_spread_daily_chg,Exchange Netflow,IG Spread,0.2421755205005083,0.02960372547202202,0.2976508497715294,0.01488254248857647,0.06390566022879897,0.0031952830114399485,0,white,200,#6EA9A3,+,+,1,3
stablecoin_exchange_reserve_daily_log_chg,sp500_daily_log_ret,Exchange Reserves,S&P 500,0.5050309066057048,0.7133409460827829,-0.012646513626821659,-0.0006323256813410829,-0.06845724977751776,-0.0034228624888758877,0,white,0,white,−,−,2,0
stablecoin_exchange_reserve_daily_log_chg,vix_daily_log_chg,Exchange Reserves,VIX,0.9722047612432326,0.3025682540907602,-0.008655596242096773,-0.00043277981210483867,-0.01126078223143516,-0.000563039111571758,0,white,0,white,−,−,2,1
stablecoin_exchange_reserve_daily_log_chg,hy_spread_daily_chg,Exchange Reserves,HY Spread,0.8226509502059288,0.6675473585700218,0.1481608625338182,0.007408043126690909,-0.016681711147973313,-0.0008340855573986657,0,white,0,white,+,−,2,2
stablecoin_exchange_reserve_daily_log_chg,ig_spread_daily_chg,Exchange Reserves,IG Spread,0.22639827373619317,0.05569539785242794,0.10096517317748961,0.005048258658874481,0.16768735550896255,0.008384367775448128,0,white,160,#A5D7D2,+,+,2,3
btc_eth_open_interest_daily_log_chg,sp500_daily_log_ret,Open Interest,S&P 500,0.7740890192775832,0.9410814628080435,-0.0057899398859349365,-0.0002894969942967468,0.037536007986427825,0.0018768003993213911,0,white,0,white,−,+,3,0
btc_eth_open_interest_daily_log_chg,vix_daily_log_chg,Open Interest,VIX,0.8544848004000791,0.07847898590573942,-0.013019029983687482,-0.000650951499184374,-0.041722341340497134,-0.0020861170670248568,0,white,160,#A5D7D2,−,−,3,1
