specification,caused,causing,test,statistic,p_value,df,significant_10pct,significant_5pct,significant_1pct,lag_order,nobs,direction,predictor_label,dependent_label,impulse,response,cum_irf,avg_irf,star_label,dot_size,dot_color,direction_label,risk_on_score,risk_direction,y_pos,x_pos
var_stablecoin_supply_daily_log_chg,sp500_daily_log_ret,stablecoin_supply_daily_log_chg,granger_causality_f_test,1.5460930039881338,0.21374268076465236,"(1, 9870)",False,False,False,1,1418,crypto_to_risk,Stablecoin Supply,S&P 500,stablecoin_supply_daily_log_chg,sp500_daily_log_ret,-0.1393535401402563,-0.006967677007012815,,0,white,−,-0.1393535401402563,risk_off,0,0
var_stablecoin_supply_daily_log_chg,vix_daily_log_chg,stablecoin_supply_daily_log_chg,granger_causality_f_test,0.001448972757921924,0.9696363280454787,"(1, 9870)",False,False,False,1,1418,crypto_to_risk,Stablecoin Supply,VIX,stablecoin_supply_daily_log_chg,vix_daily_log_chg,0.0082370968208683,0.000411854841043415,,0,white,+,-0.0082370968208683,risk_off,0,1
var_stablecoin_supply_daily_log_chg,hy_spread_daily_chg,stablecoin_supply_daily_log_chg,granger_causality_f_test,7.040534667650793,0.007981287456086074,"(1, 9870)",True,True,True,1,1418,crypto_to_risk,Stablecoin Supply,HY Spread,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,3.1830104256724514,0.15915052128362256,***,950,#2D373C,+,-3.1830104256724514,risk_off,0,2
var_stablecoin_supply_daily_log_chg,ig_spread_daily_chg,stablecoin_supply_daily_log_chg,granger_causality_f_test,14.848194588072026,0.00011725759546507217,"(1, 9870)",True,True,True,1,1418,crypto_to_risk,Stablecoin Supply,IG Spread,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,1.4307987508191728,0.07153993754095864,***,950,#2D373C,+,-1.4307987508191728,risk_off,0,3
var_stablecoin_exchange_netflow_scaled,sp500_daily_log_ret,stablecoin_exchange_netflow_scaled,granger_causality_f_test,0.5209091870274635,0.47047120337443815,"(1, 9870)",False,False,False,1,1418,crypto_to_risk,Exchange Netflow,S&P 500,stablecoin_exchange_netflow_scaled,sp500_daily_log_ret,-0.03862132482643014,-0.001931066241321507,,0,white,−,-0.03862132482643014,risk_off,1,0
var_stablecoin_exchange_netflow_scaled,vix_daily_log_chg,stablecoin_exchange_netflow_scaled,granger_causality_f_test,0.003267253130456276,0.9544189853566273,"(1, 9870)",False,False,False,1,1418,crypto_to_risk,Exchange Netflow,VIX,stablecoin_exchange_netflow_scaled,vix_daily_log_chg,-0.03707830131145887,-0.0018539150655729434,,0,white,−,0.03707830131145887,risk_on,1,1
var_stablecoin_exchange_netflow_scaled,hy_spread_daily_chg,stablecoin_exchange_netflow_scaled,granger_causality_f_test,0.042253273351236104,0.8371419815839694,"(1, 9870)",False,False,False,1,1418,crypto_to_risk,Exchange Netflow,HY Spread,stablecoin_exchange_netflow_scaled,hy_spread_daily_chg,0.43266120836719946,0.021633060418359974,,0,white,+,-0.43266120836719946,risk_off,1,2
var_stablecoin_exchange_netflow_scaled,ig_spread_daily_chg,stablecoin_exchange_netflow_scaled,granger_causality_f_test,1.3680495746310872,0.2421755205005083,"(1, 9870)",False,False,False,1,1418,crypto_to_risk,Exchange Netflow,IG Spread,stablecoin_exchange_netflow_scaled,ig_spread_daily_chg,0.2976508497715294,0.01488254248857647,,0,white,+,-0.2976508497715294,risk_off,1,3
var_btc_eth_open_interest_daily_log_chg,sp500_daily_log_ret,btc_eth_open_interest_daily_log_chg,granger_causality_f_test,0.0823909861076753,0.7740890192775832,"(1, 9870)",False,False,False,1,1418,crypto_to_risk,Open Interest,S&P 500,btc_eth_open_interest_daily_log_chg,sp500_daily_log_ret,-0.0057899398859349365,-0.0002894969942967468,,0,white,−,-0.0057899398859349365,risk_off,3,0
var_btc_eth_open_interest_daily_log_chg,vix_daily_log_chg,btc_eth_open_interest_daily_log_chg,granger_causality_f_test,0.03363702929715225,0.8544848004000791,"(1, 9870)",False,False,False,1,1418,crypto_to_risk,Open Interest,VIX,btc_eth_open_interest_daily_log_chg,vix_daily_log_chg,-0.013019029983687482,-0.000650951499184374,,0,white,−,0.013019029983687482,risk_on,3,1
