specification,analysis_group,sample_type,lag_criterion,caused,causing,caused_variables,causing_variables,direction,test_scope,test,statistic,p_value,df,significant_10pct,significant_5pct,significant_1pct,lag_order,nobs,error,fdr_family,fdr_family_size,fdr_q_value,fdr_reject_10pct
primary_bic_btc_eth_funding_rate_avg,primary,common_business_day,bic,hy_spread_daily_chg,btc_eth_funding_rate_avg,hy_spread_daily_chg,btc_eth_funding_rate_avg,crypto_to_risk,individual,granger_causality_f_test,4.426225665734061,0.035414693651065504,"(1, 10374)",True,True,False,1,1490,,primary_forward_12_tests,12.0,0.2399324545637798,False
primary_bic_btc_eth_funding_rate_avg,primary,common_business_day,bic,ig_spread_daily_chg,btc_eth_funding_rate_avg,ig_spread_daily_chg,btc_eth_funding_rate_avg,crypto_to_risk,individual,granger_causality_f_test,4.219423334057664,0.03998874242729663,"(1, 10374)",True,True,False,1,1490,,primary_forward_12_tests,12.0,0.2399324545637798,False
primary_bic_btc_eth_open_interest_daily_log_chg,primary,common_business_day,bic,hy_spread_daily_chg,btc_eth_open_interest_daily_log_chg,hy_spread_daily_chg,btc_eth_open_interest_daily_log_chg,crypto_to_risk,individual,granger_causality_f_test,0.6195603457015498,0.4312286927499527,"(1, 10374)",False,False,False,1,1490,,primary_forward_12_tests,12.0,0.646843039124929,False
primary_bic_btc_eth_open_interest_daily_log_chg,primary,common_business_day,bic,ig_spread_daily_chg,btc_eth_open_interest_daily_log_chg,ig_spread_daily_chg,btc_eth_open_interest_daily_log_chg,crypto_to_risk,individual,granger_causality_f_test,0.8970405938148576,0.3435985386029069,"(1, 10374)",False,False,False,1,1490,,primary_forward_12_tests,12.0,0.5890260661764118,False
primary_bic_stablecoin_exchange_netflow_scaled,primary,common_business_day,bic,hy_spread_daily_chg,stablecoin_exchange_netflow_scaled,hy_spread_daily_chg,stablecoin_exchange_netflow_scaled,crypto_to_risk,individual,granger_causality_f_test,0.17116725067002003,0.6790850642284565,"(1, 10374)",False,False,False,1,1490,,primary_forward_12_tests,12.0,0.8635718014036197,False
primary_bic_stablecoin_exchange_netflow_scaled,primary,common_business_day,bic,ig_spread_daily_chg,stablecoin_exchange_netflow_scaled,ig_spread_daily_chg,stablecoin_exchange_netflow_scaled,crypto_to_risk,individual,granger_causality_f_test,0.020773764053935093,0.8853997737314401,"(1, 10374)",False,False,False,1,1490,,primary_forward_12_tests,12.0,0.8853997737314401,False
primary_bic_stablecoin_exchange_reserve_daily_log_chg,primary,common_business_day,bic,hy_spread_daily_chg,stablecoin_exchange_reserve_daily_log_chg,hy_spread_daily_chg,stablecoin_exchange_reserve_daily_log_chg,crypto_to_risk,individual,granger_causality_f_test,0.12884186967549274,0.7196431678363497,"(1, 10374)",False,False,False,1,1490,,primary_forward_12_tests,12.0,0.8635718014036197,False
primary_bic_stablecoin_exchange_reserve_daily_log_chg,primary,common_business_day,bic,ig_spread_daily_chg,stablecoin_exchange_reserve_daily_log_chg,ig_spread_daily_chg,stablecoin_exchange_reserve_daily_log_chg,crypto_to_risk,individual,granger_causality_f_test,0.06481113889190906,0.7990523075496341,"(1, 10374)",False,False,False,1,1490,,primary_forward_12_tests,12.0,0.8716934264177827,False
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,hy_spread_daily_chg,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,stablecoin_supply_daily_log_chg,crypto_to_risk,individual,granger_causality_f_test,1.313875945948621,0.2517205299496386,"(1, 10374)",False,False,False,1,1490,,primary_forward_12_tests,12.0,0.5890260661764118,False
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,ig_spread_daily_chg,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,stablecoin_supply_daily_log_chg,crypto_to_risk,individual,granger_causality_f_test,2.7436634553046146,0.0976709308867327,"(1, 10374)",True,False,False,1,1490,,primary_forward_12_tests,12.0,0.3906837235469308,False
primary_bic_tradingVol_btc+eth_daily_log_chg,primary,common_business_day,bic,hy_spread_daily_chg,tradingVol_btc+eth_daily_log_chg,hy_spread_daily_chg,tradingVol_btc+eth_daily_log_chg,crypto_to_risk,individual,granger_causality_f_test,1.0720872002422503,0.30049860711043674,"(1, 10374)",False,False,False,1,1490,,primary_forward_12_tests,12.0,0.5890260661764118,False
primary_bic_tradingVol_btc+eth_daily_log_chg,primary,common_business_day,bic,ig_spread_daily_chg,tradingVol_btc+eth_daily_log_chg,ig_spread_daily_chg,tradingVol_btc+eth_daily_log_chg,crypto_to_risk,individual,granger_causality_f_test,1.8460314775989204,0.174275204125136,"(1, 10374)",False,False,False,1,1490,,primary_forward_12_tests,12.0,0.522825612375408,False
