specification,analysis_group,sample_type,lag_criterion,caused,causing,caused_variables,causing_variables,direction,test_scope,test,statistic,p_value,df,significant_10pct,significant_5pct,significant_1pct,lag_order,nobs,error,fdr_family,fdr_family_size,fdr_q_value,fdr_reject_10pct
primary_bic_btc_eth_funding_rate_avg,primary,common_business_day,bic,btc_eth_funding_rate_avg,hy_spread_daily_chg,btc_eth_funding_rate_avg,hy_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,3.7575911405263196,0.05259535113110469,"(1, 10374)",True,False,False,1,1490,,primary_reverse_12_tests,12.0,0.15778605339331409,False
primary_bic_btc_eth_funding_rate_avg,primary,common_business_day,bic,btc_eth_funding_rate_avg,ig_spread_daily_chg,btc_eth_funding_rate_avg,ig_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,0.36112844129888544,0.5478933242982514,"(1, 10374)",False,False,False,1,1490,,primary_reverse_12_tests,12.0,0.6348662460102602,False
primary_bic_btc_eth_open_interest_daily_log_chg,primary,common_business_day,bic,btc_eth_open_interest_daily_log_chg,hy_spread_daily_chg,btc_eth_open_interest_daily_log_chg,hy_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,0.497171984909113,0.48076120040747283,"(1, 10374)",False,False,False,1,1490,,primary_reverse_12_tests,12.0,0.6348662460102602,False
primary_bic_btc_eth_open_interest_daily_log_chg,primary,common_business_day,bic,btc_eth_open_interest_daily_log_chg,ig_spread_daily_chg,btc_eth_open_interest_daily_log_chg,ig_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,10.322685791888766,0.0013180636493516072,"(1, 10374)",True,True,True,1,1490,,primary_reverse_12_tests,12.0,0.009412971049499815,True
primary_bic_stablecoin_exchange_netflow_scaled,primary,common_business_day,bic,stablecoin_exchange_netflow_scaled,hy_spread_daily_chg,stablecoin_exchange_netflow_scaled,hy_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,0.46792269252773283,0.4939596619882848,"(1, 10374)",False,False,False,1,1490,,primary_reverse_12_tests,12.0,0.6348662460102602,False
primary_bic_stablecoin_exchange_netflow_scaled,primary,common_business_day,bic,stablecoin_exchange_netflow_scaled,ig_spread_daily_chg,stablecoin_exchange_netflow_scaled,ig_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,2.510896851096761,0.11309205220621828,"(1, 10374)",False,False,False,1,1490,,primary_reverse_12_tests,12.0,0.22618410441243655,False
primary_bic_stablecoin_exchange_reserve_daily_log_chg,primary,common_business_day,bic,stablecoin_exchange_reserve_daily_log_chg,hy_spread_daily_chg,stablecoin_exchange_reserve_daily_log_chg,hy_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,0.20434805290222213,0.6512433299511777,"(1, 10374)",False,False,False,1,1490,,primary_reverse_12_tests,12.0,0.6512433299511777,False
primary_bic_stablecoin_exchange_reserve_daily_log_chg,primary,common_business_day,bic,stablecoin_exchange_reserve_daily_log_chg,ig_spread_daily_chg,stablecoin_exchange_reserve_daily_log_chg,ig_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,2.0211850284262374,0.15514810596393788,"(1, 10374)",False,False,False,1,1490,,primary_reverse_12_tests,12.0,0.26596818165246494,False
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,10.00127337845589,0.001568828508249969,"(1, 10374)",True,True,True,1,1490,,primary_reverse_12_tests,12.0,0.009412971049499815,True
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,3.3291171099315715,0.06809214905690224,"(1, 10374)",True,False,False,1,1490,,primary_reverse_12_tests,12.0,0.16342115773656538,False
primary_bic_tradingVol_btc+eth_daily_log_chg,primary,common_business_day,bic,tradingVol_btc+eth_daily_log_chg,hy_spread_daily_chg,tradingVol_btc+eth_daily_log_chg,hy_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,0.30309457746205337,0.5819607255094051,"(1, 10374)",False,False,False,1,1490,,primary_reverse_12_tests,12.0,0.6348662460102602,False
primary_bic_tradingVol_btc+eth_daily_log_chg,primary,common_business_day,bic,tradingVol_btc+eth_daily_log_chg,ig_spread_daily_chg,tradingVol_btc+eth_daily_log_chg,ig_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,7.312369762754664,0.006859324110314594,"(1, 10374)",True,True,True,1,1490,,primary_reverse_12_tests,12.0,0.027437296441258377,True
