specification,analysis_group,sample_type,lag_criterion,caused,causing,caused_variables,causing_variables,direction,test_scope,test,statistic,p_value,df,significant_10pct,significant_5pct,significant_1pct,lag_order,nobs,error,fdr_family,fdr_family_size,fdr_q_value,fdr_reject_10pct
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,hy_spread_daily_chg,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,stablecoin_supply_daily_log_chg,crypto_to_risk,individual,granger_causality_f_test,1.313875945948621,0.2517205299496386,"(1, 10374)",False,False,False,1,1490,,primary_forward_12_tests,12.0,0.5890260661764118,False
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,ig_spread_daily_chg,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,stablecoin_supply_daily_log_chg,crypto_to_risk,individual,granger_causality_f_test,2.7436634553046146,0.0976709308867327,"(1, 10374)",True,False,False,1,1490,,primary_forward_12_tests,12.0,0.3906837235469308,False
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,10.00127337845589,0.001568828508249969,"(1, 10374)",True,True,True,1,1490,,primary_reverse_12_tests,12.0,0.009412971049499815,True
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,3.3291171099315715,0.06809214905690224,"(1, 10374)",True,False,False,1,1490,,primary_reverse_12_tests,12.0,0.16342115773656538,False
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,stablecoin_supply_daily_log_chg,hy_spread_daily_chg + ig_spread_daily_chg,stablecoin_supply_daily_log_chg,"hy_spread_daily_chg, ig_spread_daily_chg",risk_to_crypto,joint_risk_group,granger_causality_f_test,5.264123188848125,0.005187757281591759,"(2, 10374)",True,True,True,1,1490,,,,,False
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,hy_spread_daily_chg,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,stablecoin_supply_daily_log_chg,crypto_to_risk,individual,granger_causality_f_test,4.750499848876958,7.950989465492819e-07,"(10, 9870)",True,True,True,10,1481,,,,,False
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,ig_spread_daily_chg,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,stablecoin_supply_daily_log_chg,crypto_to_risk,individual,granger_causality_f_test,7.011708960887894,4.640480070993967e-11,"(10, 9870)",True,True,True,10,1481,,,,,False
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,1.528091492836472,0.12234314237241012,"(10, 9870)",False,False,False,10,1481,,,,,False
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,3.06150117842398,0.0006881103888396786,"(10, 9870)",True,True,True,10,1481,,,,,False
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,stablecoin_supply_daily_log_chg,hy_spread_daily_chg + ig_spread_daily_chg,stablecoin_supply_daily_log_chg,"hy_spread_daily_chg, ig_spread_daily_chg",risk_to_crypto,joint_risk_group,granger_causality_f_test,2.672466052300094,7.208699275349572e-05,"(20, 9870)",True,True,True,10,1481,,,,,False
