specification,analysis_group,sample_type,lag_criterion,candidate_lag,aic,bic,hqic,fpe,nobs,df_resid,fit_error,selected_by_aic,selected_by_bic,selected_by_hqic,selected_by_fpe,selected_for_model,selection_criterion,maximum_lag_considered,common_selection_sample
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,1,-56.71159576379695,-56.51117275393942,-56.6368832851372,2.346752122357151e-25,1481,1473,,False,True,False,False,True,bic,10,True
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,2,-56.82616309407288,-56.45036995059002,-56.686077196585856,2.0927292590831237e-25,1481,1466,,False,False,False,False,False,bic,10,True
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,3,-56.88752157526707,-56.33635829815888,-56.68206225895277,1.968203206684719e-25,1481,1459,,False,False,False,False,False,bic,10,True
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,4,-56.99995289039761,-56.27341947966407,-56.72912015525602,1.758936702577162e-25,1481,1452,,False,False,False,False,False,bic,10,True
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,5,-57.05497593549358,-56.153072391134714,-56.71876978152471,1.6648223816033884e-25,1481,1445,,False,False,False,False,False,bic,10,True
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,6,-57.13480065336949,-56.05752697538528,-56.733221080573344,1.5371667520265392e-25,1481,1438,,False,False,True,False,False,bic,10,True
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,7,-57.12239373980686,-55.86974992819732,-56.65544074818344,1.556458869142734e-25,1481,1431,,False,False,False,False,False,bic,10,True
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,8,-57.14309632967115,-55.71508238443627,-56.61076991922045,1.5246994118875543e-25,1481,1424,,False,False,False,False,False,bic,10,True
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,9,-57.159803516143974,-55.556419437283765,-56.562103686865996,1.4996036386532518e-25,1481,1417,,False,False,False,True,False,bic,10,True
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,10,-57.159896938871825,-55.38114272638628,-56.49682369076656,1.4996702909798295e-25,1481,1410,,True,False,False,False,False,bic,10,True
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,1,-56.71159576379695,-56.51117275393942,-56.6368832851372,2.346752122357151e-25,1481,1473,,False,True,False,False,False,aic,10,True
lag_robustness_aic_stablecoin_supply_daily_log_chg,lag_robustness,common_business_day,aic,2,-56.82616309407288,-56.45036995059002,-56.686077196585856,2.0927292590831237e-25,1481,1466,,False,False,False,False,False,aic,10,True
