primary_specification,crypto_variable,credit_variable,forward_granger_statistic,forward_granger_p_value,forward_granger_q_value,forward_fdr_reject_10pct,bic_lag_order,primary_nobs,forward_granger_error,reverse_granger_statistic,reverse_granger_p_value,reverse_granger_q_value,reverse_fdr_reject_10pct,reverse_granger_error,aic_cumulative_response_20d,bic_cumulative_response_20d,hqic_cumulative_response_20d,sample_start,sample_end,is_stable,whiteness_p_value,residual_autocorrelation_pass_5pct,residual_whiteness_warning,diagnostics_pass,selected_lag_aic,selected_lag_bic,selected_lag_hqic,direction_confirmed_by_alternative_lag,bic_response_direction,passes_predictive_screen,passes_strict_screen,selected_with_residual_whiteness_warning,passes_primary_screen,raw_forward_significant_10pct,suggestive_raw_only,reverse_relationship_label,screening_classification,stage2_included,stage2_inclusion_reason,split_2020_2023_forward_p_value,split_2020_2023_forward_q_value,split_2020_2023_forward_fdr_reject_10pct,split_2020_2023_lag_order,split_2020_2023_nobs
primary_bic_btc_eth_funding_rate_avg,btc_eth_funding_rate_avg,hy_spread_daily_chg,4.426225665734061,0.035414693651065504,0.2399324545637798,False,1,1490,,3.7575911405263196,0.05259535113110469,0.15778605339331409,False,,-0.0019865495148751067,-0.04595567903802716,-0.02754690987539853,2020-01-03,2025-12-31,True,6.390041386875655e-107,False,True,False,10,1,4,True,spread_compression,False,False,False,False,True,True,reverse_evidence_raw_10pct_only,suggestive_raw_only,False,not_selected,0.04642842653593013,0.46601225800038687,False,1,992
primary_bic_btc_eth_funding_rate_avg,btc_eth_funding_rate_avg,ig_spread_daily_chg,4.219423334057664,0.03998874242729663,0.2399324545637798,False,1,1490,,0.36112844129888544,0.5478933242982514,0.6348662460102602,False,,0.0019583402138212617,-0.01803883475955389,-0.01126132138134636,2020-01-03,2025-12-31,True,6.390041386875655e-107,False,True,False,10,1,4,True,spread_compression,False,False,False,False,True,True,no_reverse_evidence_at_10pct,suggestive_raw_only,False,not_selected,0.09905299355265927,0.46601225800038687,False,1,992
primary_bic_btc_eth_open_interest_daily_log_chg,btc_eth_open_interest_daily_log_chg,hy_spread_daily_chg,0.6195603457015498,0.4312286927499527,0.646843039124929,False,1,1490,,0.497171984909113,0.48076120040747283,0.6348662460102602,False,,-0.01813223202431845,-0.0355065470344889,-0.0355065470344889,2020-01-03,2025-12-31,True,7.052134195264658e-79,False,True,False,10,1,1,True,spread_compression,False,False,False,False,False,False,no_reverse_evidence_at_10pct,not_selected,False,not_selected,0.3528430745724207,0.6048738421241497,False,1,992
primary_bic_btc_eth_open_interest_daily_log_chg,btc_eth_open_interest_daily_log_chg,ig_spread_daily_chg,0.8970405938148576,0.3435985386029069,0.5890260661764118,False,1,1490,,10.322685791888766,0.0013180636493516072,0.009412971049499815,True,,-0.005332963989996478,-0.015993319628706457,-0.015993319628706457,2020-01-03,2025-12-31,True,7.052134195264658e-79,False,True,False,10,1,1,True,spread_compression,False,False,False,False,False,False,reverse_evidence_fdr_10pct,not_selected,False,not_selected,0.4701959286642039,0.7052938929963058,False,1,992
primary_bic_stablecoin_exchange_netflow_scaled,stablecoin_exchange_netflow_scaled,hy_spread_daily_chg,0.17116725067002003,0.6790850642284565,0.8635718014036197,False,1,1490,,0.46792269252773283,0.4939596619882848,0.6348662460102602,False,,0.023378837308227735,0.011015331736283383,0.011015331736283383,2020-01-03,2025-12-31,True,3.8777837726685545e-81,False,True,False,10,1,1,True,spread_widening,False,False,False,False,False,False,no_reverse_evidence_at_10pct,not_selected,False,not_selected,0.8245617681941906,0.9515271166940076,False,1,992
primary_bic_stablecoin_exchange_netflow_scaled,stablecoin_exchange_netflow_scaled,ig_spread_daily_chg,0.020773764053935093,0.8853997737314401,0.8853997737314401,False,1,1490,,2.510896851096761,0.11309205220621828,0.22618410441243655,False,,0.01083113625894324,0.006457172453876602,0.006457172453876602,2020-01-03,2025-12-31,True,3.8777837726685545e-81,False,True,False,10,1,1,True,spread_widening,False,False,False,False,False,False,no_reverse_evidence_at_10pct,not_selected,False,not_selected,0.9515271166940076,0.9515271166940076,False,1,992
primary_bic_stablecoin_exchange_reserve_daily_log_chg,stablecoin_exchange_reserve_daily_log_chg,hy_spread_daily_chg,0.12884186967549274,0.7196431678363497,0.8635718014036197,False,1,1490,,0.20434805290222213,0.6512433299511777,0.6512433299511777,False,,0.03193162509784205,0.010858327154572847,0.010858327154572847,2020-01-03,2025-12-31,True,1.7476173634781265e-84,False,True,False,10,1,1,True,spread_widening,False,False,False,False,False,False,no_reverse_evidence_at_10pct,not_selected,False,not_selected,0.8923947423322022,0.9515271166940076,False,1,992
primary_bic_stablecoin_exchange_reserve_daily_log_chg,stablecoin_exchange_reserve_daily_log_chg,ig_spread_daily_chg,0.06481113889190906,0.7990523075496341,0.8716934264177827,False,1,1490,,2.0211850284262374,0.15514810596393788,0.26596818165246494,False,,0.014414019520676384,0.0063612041573055745,0.0063612041573055745,2020-01-03,2025-12-31,True,1.7476173634781265e-84,False,True,False,10,1,1,True,spread_widening,False,False,False,False,False,False,no_reverse_evidence_at_10pct,not_selected,False,not_selected,0.8540960497394641,0.9515271166940076,False,1,992
primary_bic_stablecoin_supply_daily_log_chg,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,1.313875945948621,0.2517205299496386,0.5890260661764118,False,1,1490,,10.00127337845589,0.001568828508249969,0.009412971049499815,True,,0.02768020490445115,0.017874958831149906,0.03301542687332644,2020-01-03,2025-12-31,True,2.0070884195626303e-151,False,True,False,10,1,6,True,spread_widening,False,False,False,False,False,False,reverse_evidence_fdr_10pct,not_selected,False,not_selected,0.28533131988354477,0.5706626397670895,False,1,992
primary_bic_stablecoin_supply_daily_log_chg,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,2.7436634553046146,0.0976709308867327,0.3906837235469308,False,1,1490,,3.3291171099315715,0.06809214905690224,0.16342115773656538,False,,0.012011612028293718,0.008976940811810502,0.0125419319094585,2020-01-03,2025-12-31,True,2.0070884195626303e-151,False,True,False,10,1,6,True,spread_widening,False,False,False,False,True,True,reverse_evidence_raw_10pct_only,suggestive_raw_only,False,not_selected,0.15522115059187017,0.46601225800038687,False,1,992
primary_bic_tradingVol_btc+eth_daily_log_chg,tradingVol_btc+eth_daily_log_chg,hy_spread_daily_chg,1.0720872002422503,0.30049860711043674,0.5890260661764118,False,1,1490,,0.30309457746205337,0.5819607255094051,0.6348662460102602,False,,-0.014234532906531375,0.009498068997233922,-0.013762694121225296,2020-01-03,2025-12-31,True,3.508867896790627e-116,False,True,False,10,1,6,False,spread_widening,False,False,False,False,False,False,no_reverse_evidence_at_10pct,not_selected,False,not_selected,0.19417177416682788,0.46601225800038687,False,1,992
primary_bic_tradingVol_btc+eth_daily_log_chg,tradingVol_btc+eth_daily_log_chg,ig_spread_daily_chg,1.8460314775989204,0.174275204125136,0.522825612375408,False,1,1490,,7.312369762754664,0.006859324110314594,0.027437296441258377,True,,-0.00896419338300359,0.004647658539215122,-0.008669691368803217,2020-01-03,2025-12-31,True,3.508867896790627e-116,False,True,False,10,1,6,False,spread_widening,False,False,False,False,False,False,reverse_evidence_fdr_10pct,not_selected,False,not_selected,0.1831134945679535,0.46601225800038687,False,1,992
